idx,station_id,name
161,HB401,Southwest Park - Jackson St & Observer Hwy
162,HB402,Madison St & 1 St
163,HB404,Mama Johnson Field - 4 St & Jackson St
164,HB407,Adams St & 2 St
165,HB408,Marshall St & 2 St
166,HB409,Clinton St & Newark St
167,HB501,Columbus Park - Clinton St & 9 St
168,HB502,11 St & Washington St
169,HB503,Madison St & 10 St
170,HB505,Willow Ave & 12 St
171,HB506,Grand St & 14 St
172,HB601,Church Sq Park - 5 St & Park Ave
173,HB602,Stevens - River Ter & 6 St
174,HB603,8 St & Washington St
175,HB608,2 St & Park Ave
176,HB609,River St & 1 St
177,HB610,Adams St & 12 St
178,HB611,4 St & River St
179,JC002,Paulus Hook
180,JC003,City Hall
181,JC006,Warren St
182,JC008,Newport Pkwy
183,JC009,Hamilton Park
184,JC013,Marin Light Rail
185,JC014,Columbus Drive
186,JC018,5 Corners Library
187,JC019,Hilltop
188,JC020,Baldwin at Montgomery
189,JC022,Oakland Ave
190,JC023,Brunswick St
191,JC024,Pershing Field
192,JC027,Jersey & 6th St
193,JC032,Newark Ave
194,JC034,Christ Hospital
195,JC035,Van Vorst Park
196,JC038,Essex Light Rail
197,JC051,Union St
198,JC052,Liberty Light Rail
199,JC053,Lincoln Park
200,JC055,McGinley Square
201,JC057,Riverview Park
202,JC059,Heights Elevator
203,JC063,Jackson Square
204,JC065,Dey St
205,JC066,Newport PATH
206,JC072,Morris Canal
207,JC074,Jersey & 3rd
208,JC075,Monmouth and 6th
209,JC076,Dixon Mills
210,JC077,Astor Place
211,JC078,Lafayette Park
212,JC080,Leonard Gordon Park
213,JC081,Brunswick & 6th
214,JC082,Manila & 1st
215,JC084,Communipaw & Berry Lane
216,JC093,Fairmount Ave
217,JC094,Glenwood Ave
218,JC095,Bergen Ave
219,JC097,York St & Marin Blvd
220,JC098,Washington St
221,JC099,Montgomery St
222,JC102,Grand St
223,JC103,Journal Square
224,JC104,Harborside
225,JC105,Hoboken Ave at Monmouth St
226,JC107,Grant Ave & MLK Dr
227,JC108,Bergen Ave & Stegman St
228,JC109,Bergen Ave & Sip Ave
229,JC110,JC Medical Center
230,JC115,Grove St PATH
231,JC116,Exchange Pl
