lr,hidden,ts_lookback,fusion_hidden,seed,val_ap,test_ap,val_mse,test_mse,test_f1,epochs_run,sec,error
0.001,128,6,128,42,0.9163225908992454,0.9236115109110706,0.09140133721751122,0.08279235037002153,0.859187386294724,20,71.3,
0.001,128,6,256,42,0.9164632764114469,0.9233632043157722,0.09108622823464668,0.08275772456300301,0.8603460095979352,17,61.9,
0.001,128,12,128,42,0.9162284088218005,0.9235879364489444,0.09154379912915749,0.08305022366283507,0.8607025158749296,17,69.1,
0.001,128,12,256,42,0.9165531711360986,0.923233961443041,0.09105801113526513,0.08247868125055406,0.8607483020536109,17,71.7,
0.001,128,24,128,42,0.9153519481169613,0.9226107307861149,0.09183718423881972,0.08329554292078656,0.8589830779693562,12,65.7,
0.001,128,24,256,42,0.9164999636188332,0.9232008012423033,0.09049517398840638,0.08252244350916547,0.8579127878490936,19,101.9,
0.001,128,48,128,42,0.9164285937561133,0.923218288612263,0.09077371208644835,0.08265620734265844,0.8607096981374438,17,130.4,
0.001,128,48,256,42,0.9166095676517946,0.923344638222931,0.0909289533340672,0.08254872778948777,0.8577371726894526,11,88.8,
0.001,256,6,128,42,0.9158396741514072,0.9233587642468,0.09146975965669592,0.0830245448597238,0.8614087898856111,17,72.4,
0.001,256,6,256,42,0.916770238962937,0.9240597387365928,0.09108683493203551,0.0823973721036609,0.8612059615152854,17,66.0,
0.001,256,12,128,42,0.9163058517982531,0.9228761499935269,0.0912844353276421,0.08308613983723062,0.8603006189213086,17,83.0,
0.001,256,12,256,42,0.9166788860223828,0.9236777628077444,0.09124407286794083,0.08274104463867517,0.8608999879358186,17,88.1,
0.001,256,24,128,42,0.916243818102413,0.9229082041513395,0.09162972852038301,0.08232808020227472,0.8606317812387397,17,120.1,
0.001,256,24,256,42,,,,,,0,69.7,"CUDA error: an illegal instruction was encountered
Search for `cudaErrorIllegalInstruction' in https://docs.nvidia.com/cuda/cuda-runtime-api/group__CUDART__TYPES.html for more information.
CUDA kernel"
0.001,256,24,256,42,0.916486814065835,0.9233393476307373,0.09163972740523205,0.0828274647371826,0.8592389551757498,12,98.4,
0.001,256,48,128,42,0.9168137044820805,0.9235564512135297,0.09057011396188522,0.08227198252918416,0.862175006989097,17,206.1,
0.001,256,48,256,42,0.917026457397469,0.923872143412294,0.0912157115173395,0.08246012717337872,0.8608038201352964,15,178.1,
0.001,384,6,128,42,0.9164520663687485,0.9234424551039806,0.09164511357479324,0.08368260866220181,0.8607493488278901,17,91.3,
0.001,384,6,256,42,0.9166294508198117,0.9237282789902053,0.09129126691529178,0.08279957431220644,0.8609747335648424,17,80.5,
0.001,384,12,128,42,0.9162108385360191,0.9239013727730796,0.09165277521287449,0.08294709972058456,0.8617114602440387,17,127.7,
0.001,384,12,256,42,0.9163645845448899,0.9241055493353182,0.09097196298558093,0.08270319564542246,0.861108882291583,17,120.6,
0.001,384,24,128,42,0.915932956559091,0.9231717153582062,0.09132902105317786,0.08252705229803889,0.8611618850830485,17,187.8,
0.001,384,24,256,42,0.9160319881242629,0.9232684001898954,0.09175044407233184,0.08243558865747408,0.8599374649242363,13,138.4,
0.001,384,48,128,42,0.9160596212050547,0.9231262599982567,0.091590263524728,0.08289473639765434,0.8586841891782266,11,313.0,
0.001,384,48,256,42,0.9166211297679484,0.9237194740897713,0.09115146641403317,0.08232959360492817,0.8590206499249462,11,294.2,
0.003,128,6,128,42,0.9158855730298443,0.922800580227485,0.09213376348428588,0.0833355227724063,0.8603163105155137,10,118.4,
0.003,128,6,256,42,0.9161595306430347,0.9229023966157412,0.09228186049612438,0.08397810910814608,0.8548527042102219,8,90.9,
0.003,128,12,128,42,0.9158368371595884,0.923214454052718,0.09201318854997044,0.08314882909200284,0.8594629361633703,10,133.6,
0.003,128,12,256,42,0.9159418265198735,0.9235494500477844,0.0915335231951646,0.0827073990948299,0.8591129032258065,10,102.6,
0.003,128,24,128,42,0.9160368497380197,0.9231218178417024,0.09177405360456767,0.08331579273737928,0.8603122100762374,10,154.3,
0.003,128,24,256,42,0.9159134390377116,0.9227044744407258,0.09164104796771248,0.08277494281244555,0.8587780106400129,10,115.8,
0.003,128,48,128,42,0.9159073794823187,0.9227701092044761,0.09181279847584668,0.08309843242360081,0.8606861008213883,10,161.5,
0.003,128,48,256,42,0.9163593419799502,0.9233040873797675,0.09243199088294078,0.084435904264484,0.8559450906251285,8,106.2,
0.003,256,6,128,42,0.9161708494874453,0.923127842037306,0.09188905425724783,0.08340022254123551,0.8600064401867654,10,148.4,
0.003,256,6,256,42,0.9157940474475402,0.9224904988058964,0.09308567741300273,0.08548342231797189,0.8539876281811765,8,83.2,
0.003,256,12,128,42,0.9157271192354478,0.9225325740411136,0.09196218031659706,0.08379715172684889,0.8553402061855669,8,115.5,
0.003,256,12,256,42,0.9159052751109167,0.9225809521628877,0.09323122100734921,0.08520417461219132,0.8536200597808037,8,85.8,
0.003,256,24,128,42,0.9161548235465848,0.9231732177410599,0.09157261740101161,0.08317480261569493,0.8598198488016728,10,197.6,
0.003,256,24,256,42,0.915754363394666,0.922378991226495,0.0926793660786648,0.08554414377021068,0.8514180540450096,8,151.0,
0.003,256,48,128,42,0.9160099760325582,0.9230529433209669,0.09151484219141652,0.08339595982027934,0.8556705280949829,8,217.9,
0.003,256,48,256,42,0.9150408231801359,0.9223780169258677,0.09358472083979417,0.08480101619041,0.8591952863311675,7,186.5,
0.003,384,6,128,42,0.9155232436358769,0.9222357745582117,0.0918837595663014,0.08351963522937567,0.8585076064705175,10,154.9,
0.003,384,6,256,42,0.9158743870352051,0.921930499596679,0.09243631275570195,0.08372089425347805,0.860337434376628,10,47.0,
0.003,384,12,128,42,0.9152032104755635,0.9222944147028957,0.09233371886262061,0.08359163138907492,0.8582089552238805,10,79.8,
0.003,384,12,256,42,0.9148202163675689,0.9213821051591103,0.0938145197859256,0.08457642847588547,0.8584551481747743,12,81.4,
0.003,384,24,128,42,0.9151818427338245,0.9218995049783286,0.09201790365311001,0.08342678257610216,0.8563343312963949,11,127.1,
