protocol,pairs,positive_rate,precision,recall
full grid @0.5,9378600,0.0012317403450408377,0.02907292562582047,0.8895429362880887
full grid top-K,9378600,0.0012317403450408377,0.21191135734072022,0.21191135734072022
1:5 sampled @0.5,72393,0.1595734394209385,0.8224089635854341,0.8895429362880887
random,9378600,0.0012317403450408377,0.0012317403450408377,
