model,best_config,test_auc,test_ap,test_f1,test_acc,test_mse,test_mae,test_rmse
Hybrid-GRU (HPO),gru_lr0.001_h128_lam0.5,0.9848638776997999,0.9228979693399916,0.8584225742090477,0.952328068443567,0.08235373482688721,0.09151210778953893,0.2869734043894786
Hybrid-CNN (HPO),cnn_lr0.001_h128_lam1_k3,0.9850643127225289,0.9224145746972542,0.8591126612052883,0.9523692003948667,0.08238539640998176,0.0919848976790079,0.28702856375277663
