model,n_configs,epochs,sec_median,sec_min,sec_max,sec_per_epoch_median,spread_factor,best_metric,drift_corr
Hybrid GRU,27,15,184.8,58.4,256.4,12.32,4.390410958904109,0.9159759059558872,0.8703295341296103
Hybrid CNN,18,15,118.0,112.0,145.6,7.866666666666666,1.3,0.91503891984175,-0.1109599227557438
LSTM,18,10,112.55,47.9,3849.4,11.254999999999999,80.36325678496868,0.1272790425960424,-0.10495758450538861
GraphMixer,18,20,248.45,200.8,543.1,12.4225,2.7046812749003983,0.7612416828434955,0.4747704865625032
