model,n_configs,n_seeds,sigma_seed,sigma_grid,ratio_grid_over_seed,range_config_means,best_mean,worst_mean
Hybrid,4,5,0.0003444575799281211,0.0028110758450087332,8.160876719842623,0.0063744925768920435,0.9159815040181621,0.9096070114412701
GraphMixer,4,5,0.06996715210128342,0.09186213203517124,1.312932272878464,0.22395514093512503,0.708743285090457,0.484788144155332
LSTM,4,5,0.0007906471313935855,0.0032386790967964146,4.0962383447695006,0.007073961769697185,0.13453469683961083,0.12746073506991365
