model,n,train_total_med,train_epoch_med,train_epoch_iqr,infer_med,peak_mb_med,n_params,n_cand,us_per_pair
GraphMixer,5,69.75724840164185,2.3252416133880613,0.3168780724207565,3.723767042160034,1584.756736,115085,72570,51.31276067465942
Hybrid CNN,5,98.95157313346864,3.298385771115621,0.5381089369455974,0.2284064292907714,1170.733056,151682,72570,3.1473946436650326
Hybrid GRU,5,158.76410675048828,5.292136891682943,0.3374988396962486,0.4096360206604004,1937.691136,599298,72570,5.644701952051817
LSTM,5,158.48846578598022,5.282948859532675,1.8729504426320398,0.4806973934173584,9845.0944,50497,72570,6.623913372155965
