row,idx,station_id,name,cap_z,lat_z,lon_z
84,83,6140.05,W 21 St & 6 Ave,1.3254,0.2044,0.4222
85,84,6148.02,W 17 St & 8 Ave,1.3254,0.2058,0.2072
86,85,6157.04,10 Ave & W 14 St,1.6159,0.2136,0.0076
87,86,6190.08,9 Ave & W 18 St,1.7404,0.2588,0.1438
88,87,6215.07,W 27 St & 6 Ave,0.9934,0.3380,0.5257
89,88,6224.03,W 22 St & 8 Ave,0.9934,0.3187,0.2758
90,89,6224.05,W 20 St & 8 Ave,1.7404,0.2694,0.2499
91,90,6233.04,Pier 61 at Chelsea Piers,0.0388,0.3991,0.0107
92,91,6233.05,W 16 St & The High Line,0.7444,0.2655,0.0515
93,92,6289.06,Broadway & W 29 St,2.4460,0.3737,0.5861
94,93,6297.07,8 Ave & W 27 St,-0.3762,0.4407,0.3495
95,94,6331.01,W 31 St & 7 Ave,1.7404,0.4858,0.4970
96,95,6364.07,6 Ave & W 33 St,1.4914,0.4803,0.5882
97,96,6389.09,E 39 St & Lexington Ave,0.8689,0.4988,0.9159
98,97,6398.06,W 37 St & 5 Ave,0.7444,0.5322,0.7374
99,98,6425.04,11 Ave & W 27 St,0.1218,0.5708,0.0981
100,99,6432.10,E 41 St & Madison Ave (SE corner),2.0724,0.5955,0.8473
101,100,6432.11,E 40 St & Park Ave,3.3590,0.5465,0.8856
102,101,6459.04,10 Ave & W 28 St,1.1179,0.5430,0.1993
103,102,6474.11,E 40 St & 5 Ave,2.1139,0.5960,0.7888
104,103,6492.04,W 33 St & 10 Ave,0.7859,0.6610,0.2693
105,104,6492.08,9 Ave & W 33 St,2.1554,0.6152,0.3458
106,105,6535.04,W 34 St & Hudson Blvd E,0.6199,0.7138,0.2335
107,106,6551.02,W 44 St & 5 Ave,1.0764,0.7076,0.8324
108,107,6551.11,E 43 St & Madison Ave,0.5784,0.6524,0.8669
109,108,6560.15,Broadway & W 38 St,1.0764,0.6306,0.6215
110,109,6584.12,E 47 St & Park Ave,2.8610,0.7114,0.9834
111,110,6626.11,W 48 St &  Rockefeller Plaza,0.3708,0.8126,0.8573
112,111,6659.03,E 53 St & Madison Ave,0.3708,0.8862,1.0116
113,112,6667.04,W 47 St & 6 Ave,1.0764,0.8364,0.7620
114,113,6682.08,E 60 St & York Ave,-0.3762,0.8633,1.4449
115,114,6708.04,Broadway & W 48 St,2.5290,0.9039,0.6941
116,115,6740.01,W 52 St & 6 Ave,0.7029,0.9476,0.8419
117,116,6753.08,1 Ave & E 62 St,0.1218,0.9438,1.3946
118,117,6762.02,E 58 St & 3 Ave,0.2878,0.9335,1.2101
119,118,6762.04,3 Ave & E 62 St,0.3708,1.0158,1.2679
120,119,6765.01,12 Ave & W 40 St,1.4084,0.9304,0.1698
121,120,6795.01,W 46 St & 11 Ave,-0.7082,1.0267,0.3484
122,121,6801.01,E 59 St & Madison Ave,0.3708,1.0302,1.0974
123,122,6822.09,1 Ave & E 68 St,0.8274,1.0871,1.4753
124,123,6839.10,Grand Army Plaza & Central Park S,2.2384,1.0640,1.0206
125,124,6884.03,W 56 St & 8 Ave,0.3293,1.1233,0.7448
126,125,6890.01,W 53 St & 10 Ave,-0.5422,1.1513,0.5258
127,126,7014.12,Broadway & W 61 St,0.4123,1.2777,0.7790
